,NOC,Sport,Year,Gold,Silver,Bronze,Total
283,AUS,Basketball,2020,0,0,12,12
284,AUS,Cycling BMX Freestyle,2020,1,0,0,1
285,AUS,Diving,2020,0,0,1,1
286,AUS,Beach Volleyball,2020,0,2,0,2
287,AUS,Canoe Slalom,2020,1,0,1,2
288,AUS,Canoe Sprint,2020,2,0,0,2
289,AUS,Cycling Road,2020,0,0,1,1
290,AUS,Cycling Track,2020,0,0,6,6
291,AUS,Equestrian,2020,0,4,1,5
292,AUS,Marathon Swimming,2020,0,0,1,1
293,AUS,Skateboarding,2020,1,0,0,1
294,AUS,Surfing,2020,0,0,1,1
295,AUS,Sailing,2024,1,1,0,2
296,AUS,Rowing,2024,0,0,2,2
297,AUS,Tennis,2024,2,0,0,2
298,AUS,Boxing,2024,0,0,2,2
299,AUS,Athletics,2024,1,2,5,8
300,AUS,Swimming,2024,17,19,15,51
301,AUS,Shooting,2024,0,0,1,1
302,AUS,Basketball,2024,0,0,11,11
303,AUS,Cycling BMX Freestyle,2024,0,0,1,1
304,AUS,Diving,2024,0,1,0,1
305,AUS,Water Polo,2024,0,13,0,13
306,AUS,Canoe Slalom,2024,3,0,0,3
307,AUS,Canoe Sprint,2024,0,4,2,6
308,AUS,Cycling Road,2024,1,0,0,1
309,AUS,Cycling Track,2024,5,2,5,12
310,AUS,Equestrian,2024,0,1,0,1
311,AUS,Skateboarding,2024,2,0,0,2
312,AUS,Surfing,2024,0,1,0,1
313,AUS,Cycling BMX Racing,2024,1,0,0,1
314,AUT,Swimming,1896,1,1,0,2
315,AUT,Cycling,1896,1,0,2,3
316,AUT,Swimming,1900,0,3,1,4
317,AUT,Fencing,1900,0,0,2,2
318,AUT,Swimming,1904,0,0,1,1
319,AUT,Gymnastics,1904,2,1,0,3
320,AUT,Weightlifting,1906,1,1,0,2
321,AUT,Wrestling,1906,1,2,1,4
322,AUT,Swimming,1906,1,0,1,2
323,AUT,Diving,1906,0,0,1,1
324,AUT,Swimming,1908,0,0,1,1
325,AUT,Tennis,1912,0,2,0,2
326,AUT,Swimming,1912,0,0,4,4
327,AUT,Fencing,1912,0,7,1,8
328,AUT,Weightlifting,1924,0,3,1,4
329,AUT,Rowing,1928,0,0,2,2
330,AUT,Weightlifting,1928,2,0,0,2
331,AUT,Art Competitions,1928,1,0,0,1
332,AUT,Weightlifting,1932,0,1,1,2
333,AUT,Wrestling,1932,0,0,2,2
334,AUT,Fencing,1932,1,0,0,1
335,AUT,Rowing,1936,0,1,0,1
336,AUT,Weightlifting,1936,1,0,0,1
337,AUT,Fencing,1936,0,0,1,1
338,AUT,Football,1936,0,13,0,13
339,AUT,Equestrianism,1936,0,0,1,1
340,AUT,Canoeing,1936,4,5,2,11
341,AUT,Art Competitions,1936,1,1,3,5
342,AUT,Handball,1936,0,22,0,22
343,AUT,Athletics,1948,1,0,1,2
344,AUT,Fencing,1948,0,0,1,1
345,AUT,Canoeing,1948,0,0,1,1
346,AUT,Art Competitions,1948,1,2,1,4
347,AUT,Canoeing,1952,0,1,2,3
348,AUT,Rowing,1956,0,0,2,2
349,AUT,Canoeing,1956,0,0,2,2
350,AUT,Rowing,1960,0,2,0,2
351,AUT,Shooting,1960,1,0,0,1
352,AUT,Sailing,1968,0,1,0,1
353,AUT,Athletics,1968,0,1,1,2
354,AUT,Canoeing,1968,0,0,2,2
355,AUT,Athletics,1972,0,0,1,1
356,AUT,Shooting,1972,0,0,1,1
357,AUT,Canoeing,1972,0,1,0,1
358,AUT,Shooting,1976,0,0,1,1
359,AUT,Sailing,1980,0,3,0,3
360,AUT,Shooting,1980,0,0,1,1
361,AUT,Equestrianism,1980,1,0,0,1
362,AUT,Judo,1984,1,0,1,2
363,AUT,Shooting,1984,0,1,0,1
364,AUT,Judo,1988,1,0,0,1
365,AUT,Rowing,1992,0,2,0,2
366,AUT,Equestrianism,1992,0,4,0,4
367,AUT,Athletics,1996,0,0,1,1
368,AUT,Shooting,1996,0,1,1,2
369,AUT,Sailing,2000,3,0,0,3
370,AUT,Athletics,2000,0,1,0,1
371,AUT,Sailing,2004,2,1,0,3
372,AUT,Judo,2004,0,1,0,1
373,AUT,Swimming,2004,0,2,0,2
374,AUT,Shooting,2004,0,0,1,1
375,AUT,Triathlon,2004,1,0,0,1
376,AUT,Judo,2008,0,1,0,1
377,AUT,Swimming,2008,0,0,1,1
378,AUT,Canoeing,2008,0,0,1,1
379,AUT,Sailing,2016,0,0,2,2
380,AUT,Rowing,2020,0,0,1,1
381,AUT,Athletics,2020,0,0,1,1
382,AUT,Judo,2020,0,1,1,2
383,AUT,Cycling Road,2020,1,0,0,1
384,AUT,Karate,2020,0,0,1,1
385,AUT,Sport Climbing,2020,0,0,1,1
386,AUT,Sailing,2024,3,0,0,3
387,AUT,Judo,2024,0,0,1,1
388,AUT,Sport Climbing,2024,0,0,2,2
389,AZE,Wrestling,1996,0,1,0,1
390,AZE,Wrestling,2000,1,0,0,1
391,AZE,Boxing,2000,0,0,1,1
392,AZE,Shooting,2000,1,0,0,1
393,AZE,Wrestling,2004,1,0,0,1
394,AZE,Boxing,2004,0,0,2,2
395,AZE,Shooting,2004,0,0,2,2
396,AZE,Wrestling,2008,0,2,2,4
397,AZE,Boxing,2008,0,0,1,1
398,AZE,Judo,2008,1,0,1,2
399,AZE,Weightlifting,2012,0,0,1,1
400,AZE,Wrestling,2012,2,2,3,7
401,AZE,Boxing,2012,0,0,2,2
402,AZE,Taekwondo,2016,1,0,2,3
403,AZE,Wrestling,2016,0,3,6,9
404,AZE,Boxing,2016,0,1,1,2
405,AZE,Judo,2016,0,2,0,2
406,AZE,Canoeing,2016,0,1,1,2
407,AZE,Wrestling,2020,0,1,2,3
408,AZE,Boxing,2020,0,0,1,1
409,AZE,Judo,2020,0,0,1,1
410,AZE,Karate,2020,0,2,0,2
411,AZE,Taekwondo,2024,0,1,0,1
412,AZE,Wrestling,2024,0,0,3,3
413,AZE,Boxing,2024,0,1,0,1
414,AZE,Judo,2024,2,0,0,2
415,BAH,Sailing,1956,0,0,2,2
416,BAH,Sailing,1964,2,0,0,2
417,BAH,Athletics,1992,0,0,1,1
418,BAH,Athletics,1996,0,5,0,5
419,BAH,Athletics,2000,6,0,5,11
420,BAH,Athletics,2004,1,0,1,2
421,BAH,Athletics,2008,0,6,1,7
422,BAH,Athletics,2012,4,0,0,4
423,BAH,Athletics,2016,1,0,5,6
424,BAH,Athletics,2020,2,0,0,2
425,BAR,Athletics,2000,0,0,1,1
426,BDI,Athletics,1996,1,0,0,1
427,BDI,Athletics,2016,0,1,0,1
428,BEL,Rowing,1900,0,9,0,9
429,BEL,Football,1900,0,0,9,9
430,BEL,Shooting,1900,0,1,2,3
431,BEL,Equestrianism,1900,3,1,1,5
432,BEL,Archery,1900,3,3,1,7
433,BEL,Water Polo,1900,0,10,0,10
434,BEL,Rowing,1906,0,2,0,2
435,BEL,Wrestling,1906,0,0,1,1
436,BEL,Athletics,1906,0,1,0,1
437,BEL,Fencing,1906,2,0,4,6
438,BEL,Cycling,1906,0,0,1,1
439,BEL,Sailing,1908,0,3,0,3
440,BEL,Rowing,1908,0,9,0,9
441,BEL,Fencing,1908,0,0,7,7
442,BEL,Shooting,1908,1,5,0,6
443,BEL,Cycling,1908,0,0,1,1
444,BEL,Water Polo,1908,0,7,0,7
445,BEL,Rowing,1912,0,1,0,1
446,BEL,Fencing,1912,7,0,1,8
447,BEL,Equestrianism,1912,0,0,1,1
448,BEL,Water Polo,1912,0,0,9,9
449,BEL,Sailing,1920,3,3,5,11
450,BEL,Weightlifting,1920,1,1,1,3
451,BEL,Swimming,1920,0,0,1,1
452,BEL,Fencing,1920,0,7,0,7
453,BEL,Football,1920,14,0,0,14
454,BEL,Shooting,1920,0,6,0,6
455,BEL,Equestrianism,1920,4,4,4,12
456,BEL,Hockey,1920,0,0,14,14
457,BEL,Cycling,1920,1,0,4,5
458,BEL,Archery,1920,32,11,2,45
459,BEL,Water Polo,1920,0,8,0,8
460,BEL,Gymnastics,1920,0,24,24,48
461,BEL,Art Competitions,1920,2,1,3,6
462,BEL,Tug-Of-War,1920,0,0,8,8
463,BEL,Sailing,1924,1,0,0,1
464,BEL,Wrestling,1924,0,1,0,1
465,BEL,Boxing,1924,1,0,1,2
466,BEL,Swimming,1924,0,1,0,1
467,BEL,Fencing,1924,1,12,1,14
468,BEL,Cycling,1924,0,5,4,9
469,BEL,Water Polo,1924,0,11,0,11
470,BEL,Rowing,1928,0,0,3,3
471,BEL,Wrestling,1928,0,1,0,1
472,BEL,Boxing,1928,0,0,1,1
473,BEL,Art Competitions,1932,0,0,1,1
474,BEL,Cycling,1936,0,0,4,4
475,BEL,Water Polo,1936,0,0,9,9
476,BEL,Art Competitions,1936,0,0,1,1
477,BEL,Boxing,1948,0,1,0,1
478,BEL,Athletics,1948,1,0,1,2
479,BEL,Fencing,1948,0,0,6,6
480,BEL,Cycling,1948,4,1,1,6
481,BEL,Rowing,1952,0,2,0,2
482,BEL,Cycling,1952,5,1,0,6
483,BEL,Sailing,1956,0,1,0,1
484,BEL,Wrestling,1956,0,1,0,1
485,BEL,Sailing,1960,0,0,1,1
486,BEL,Athletics,1960,0,1,0,1
487,BEL,Cycling,1960,0,1,1,2
488,BEL,Athletics,1964,1,0,0,1
489,BEL,Cycling,1964,1,0,1,2
490,BEL,Weightlifting,1968,0,1,0,1
491,BEL,Cycling,1968,0,0,2,2
492,BEL,Athletics,1972,0,2,0,2
493,BEL,Athletics,1976,0,2,1,3
494,BEL,Equestrianism,1976,0,0,5,5
495,BEL,Cycling,1976,0,1,0,1
496,BEL,Judo,1980,1,0,0,1
497,BEL,Rowing,1984,0,2,1,3
498,BEL,Swimming,1984,0,0,1,1
499,BEL,Cycling,1984,1,0,0,1
500,BEL,Judo,1988,0,0,1,1
501,BEL,Shooting,1988,0,0,1,1
502,BEL,Rowing,1992,0,1,0,1
503,BEL,Judo,1992,0,0,1,1
504,BEL,Cycling,1992,0,0,1,1
505,BEL,Sailing,1996,0,1,0,1
506,BEL,Judo,1996,1,1,2,4
507,BEL,Swimming,1996,1,0,0,1
508,BEL,Tennis,2000,0,0,2,2
509,BEL,Judo,2000,0,0,2,2
510,BEL,Cycling,2000,0,3,0,3
511,BEL,Tennis,2004,1,0,0,1
512,BEL,Judo,2004,0,0,1,1
513,BEL,Cycling,2004,0,0,1,1
514,BEL,Athletics,2008,1,4,0,5
515,BEL,Sailing,2012,0,0,1,1
516,BEL,Judo,2012,0,0,1,1
517,BEL,Shooting,2012,0,1,0,1
518,BEL,Athletics,2016,1,0,0,1
519,BEL,Judo,2016,0,0,1,1
520,BEL,Swimming,2016,0,1,0,1
521,BEL,Hockey,2016,0,16,0,16
522,BEL,Cycling,2016,1,0,1,2
523,BEL,Athletics,2020,1,0,1,2
524,BEL,Judo,2020,0,0,1,1
525,BEL,Artistic Gymnastics,2020,1,0,0,1
526,BEL,Hockey,2020,18,0,0,18
527,BEL,Cycling Road,2020,0,1,0,1
528,BEL,Equestrian,2020,0,0,4,4
529,BEL,Taekwondo,2024,0,0,1,1
530,BEL,Athletics,2024,1,1,1,3
531,BEL,Judo,2024,0,0,1,1
532,BEL,Cycling Road,2024,2,0,1,3
533,BEL,Cycling Track,2024,0,0,1,1
534,BER,Boxing,1976,0,0,1,1
535,BER,Triathlon,2020,1,0,0,1
536,BLR,Rowing,1996,1,0,9,10
537,BLR,Wrestling,1996,0,3,1,4
538,BLR,Athletics,1996,0,2,2,4
539,BLR,Shooting,1996,0,1,0,1
540,BLR,Gymnastics,1996,0,0,4,4
541,BLR,Rowing,2000,1,0,0,1
542,BLR,Weightlifting,2000,0,0,2,2
543,BLR,Wrestling,2000,0,0,1,1
544,BLR,Athletics,2000,2,0,3,5
545,BLR,Judo,2000,0,0,1,1
546,BLR,Shooting,2000,0,1,3,4
547,BLR,Modern Pentathlon,2000,0,0,1,1
548,BLR,Rhythmic Gymnastics,2000,0,7,0,7
549,BLR,Rowing,2004,0,1,2,3
550,BLR,Weightlifting,2004,0,2,1,3
551,BLR,Wrestling,2004,0,0,1,1
552,BLR,Boxing,2004,0,2,0,2
553,BLR,Athletics,2004,1,0,0,1
554,BLR,Judo,2004,1,0,0,1
555,BLR,Shooting,2004,0,0,1,1
556,BLR,Cycling,2004,0,0,1,1
557,BLR,Canoeing,2004,0,0,2,2
558,BLR,Rowing,2008,0,0,3,3
559,BLR,Weightlifting,2008,1,1,1,3
560,BLR,Wrestling,2008,0,0,2,2
561,BLR,Athletics,2008,1,3,2,6
562,BLR,Canoeing,2008,6,0,2,8
563,BLR,Rhythmic Gymnastics,2008,0,1,6,7
564,BLR,Tennis,2012,2,0,1,3
565,BLR,Weightlifting,2012,0,0,2,2
566,BLR,Swimming,2012,0,2,0,2
567,BLR,Shooting,2012,1,0,0,1
568,BLR,Canoeing,2012,0,4,4,8
569,BLR,Rhythmic Gymnastics,2012,0,6,1,7
570,BLR,Weightlifting,2016,0,2,0,2
571,BLR,Wrestling,2016,0,1,2,3
572,BLR,Athletics,2016,0,1,0,1
573,BLR,Swimming,2016,0,0,1,1
574,BLR,Canoeing,2016,0,0,4,4
575,BLR,Trampolining,2016,1,0,0,1
576,BLR,Trampoline Gymnastics,2020,1,0,0,1
577,BLR,Wrestling,2020,0,2,1,3
578,BLR,Athletics,2020,0,0,1,1
579,BLR,Canoe Sprint,2020,0,4,0,4
580,BLR,Rhythmic Gymnastics,2020,0,0,1,1
581,BOH,Tennis,1900,0,0,2,2
582,BOH,Athletics,1900,0,1,0,1
583,BOH,Tennis,1906,0,0,3,3
584,BOH,Fencing,1908,0,0,6,6
585,BOT,Athletics,2012,0,1,0,1
586,BOT,Athletics,2020,0,0,6,6
587,BOT,Athletics,2024,1,6,0,7
588,BRA,Shooting,1920,1,1,5,7
589,BRA,Basketball,1948,0,0,10,10
590,BRA,Athletics,1952,1,0,1,2
591,BRA,Swimming,1952,0,0,1,1
592,BRA,Athletics,1956,1,0,0,1
593,BRA,Swimming,1960,0,0,1,1
594,BRA,Basketball,1960,0,0,12,12
595,BRA,Basketball,1964,0,0,12,12
596,BRA,Sailing,1968,0,0,2,2
597,BRA,Boxing,1968,0,0,1,1
598,BRA,Athletics,1968,0,1,0,1
599,BRA,Athletics,1972,0,0,1,1
600,BRA,Judo,1972,0,0,1,1
601,BRA,Sailing,1976,0,0,2,2
602,BRA,Athletics,1976,0,0,1,1
603,BRA,Sailing,1980,4,0,0,4
604,BRA,Athletics,1980,0,0,1,1
605,BRA,Swimming,1980,0,0,4,4
606,BRA,Sailing,1984,0,3,0,3
607,BRA,Athletics,1984,1,0,0,1
608,BRA,Judo,1984,0,1,2,3
609,BRA,Swimming,1984,0,1,0,1
610,BRA,Football,1984,0,16,0,16
611,BRA,Volleyball,1984,0,12,0,12
612,BRA,Sailing,1988,0,0,4,4
613,BRA,Athletics,1988,0,1,1,2
614,BRA,Judo,1988,1,0,0,1
615,BRA,Football,1988,0,16,0,16
616,BRA,Judo,1992,1,0,0,1
617,BRA,Swimming,1992,0,1,0,1
618,BRA,Volleyball,1992,12,0,0,12
